Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1980-04-10
Station:        097001         Kogaluc - à 49,6 km de l'embouchure                                                                                                            
Bassin versant: 11300 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 59° 34' 1" // -77° 14' 40"

Date de création du fichier: 2012-07-01 00:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
097001         1975/08/10          212.0          MC
097001         1975/08/11          208.0          MC
097001         1975/08/12          200.0          MC
097001         1975/08/13          196.0          MC
097001         1975/08/14          195.0          MC
097001         1975/08/15          191.0          MC
097001         1975/08/16          186.0          MC
097001         1975/08/17          179.0          MC
097001         1975/08/18          176.0          MC
097001         1975/08/19          170.0          MC
097001         1975/08/20          167.0          MC
097001         1975/08/21          162.0          MC
097001         1975/08/22          156.0          MC
097001         1975/08/23          155.0          MC
097001         1975/08/24          155.0          MC
097001         1975/08/25          155.0          MC
097001         1975/08/26          163.0          MC
097001         1975/08/27          155.0          MC
097001         1975/08/28          153.0          MC
097001         1975/08/29          153.0          MC
097001         1975/08/30          154.0          MC
097001         1975/08/31          155.0          MC
097001         1975/09/01          158.0          MC
097001         1975/09/02          155.0          MC
097001         1975/09/03          155.0          MC
097001         1975/09/04          155.0          MC
097001         1975/09/05          155.0          MC
097001         1975/09/06          153.0          MC
097001         1975/09/07          151.0          MC
097001         1975/09/08          150.0          MC
097001         1975/09/09          147.0          MC
097001         1975/09/10          147.0          MC
097001         1975/09/11          146.0          MC
097001         1975/09/12          144.0          MC
097001         1975/09/13          142.0          MC
097001         1975/09/14          139.0          MC
097001         1975/09/15          136.0          MC
