Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1979-09-30
Station:        097301         Decoumte - à 24,5 km en amont du lac de Povungnituk                                                                                            
Bassin versant: 13300 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 59° 52' 29" // -76° 35' 56"

Date de création du fichier: 2012-07-01 00:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
097301         1975/08/10          271.0          MC
097301         1975/08/11          270.0          MC
097301         1975/08/12          266.0          MC
097301         1975/08/13          264.0          MC
097301         1975/08/14          262.0          MC
097301         1975/08/15          261.0          MC
097301         1975/08/16          257.0          MC
097301         1975/08/17          255.0          MC
097301         1975/08/18          252.0          MC
097301         1975/08/19          248.0          MC
097301         1975/08/20          247.0          MC
097301         1975/08/21          245.0          MC
097301         1975/08/22          241.0          MC
097301         1975/08/23          237.0          MC
097301         1975/08/24          235.0          MC
097301         1975/08/25          233.0          MC
097301         1975/08/26          233.0          MC
097301         1975/08/27          232.0          MC
097301         1975/08/28          232.0          MC
097301         1975/08/29          231.0          MC
097301         1975/08/30          230.0          MC
097301         1975/08/31          228.0          MC
097301         1975/09/01          227.0          MC
097301         1975/09/02          228.0          MC
097301         1975/09/03          230.0          MC
097301         1975/09/04          231.0          MC
097301         1975/09/05          230.0          MC
097301         1975/09/06          230.0          MC
097301         1975/09/07          231.0          MC
097301         1975/09/08          232.0          MC
097301         1975/09/09          232.0          MC
097301         1975/09/10          232.0          MC
097301         1975/09/11          231.0          MC
097301         1975/09/12          226.0          MC
097301         1975/09/13          223.0          MC
097301         1975/09/14          220.0          MC
097301         1975/09/15          219.0          MC
097301         1975/09/16          218.0          MC
097301         1975/09/17          216.0          MC
097301         1975/09/18          214.0          MC
097301         1975/09/19          210.0          MC
097301         1975/09/20          209.0          MC
097301         1975/09/21          209.0          MC
097301         1975/09/22          210.0          MC
097301         1975/09/23          210.0          MC
097301         1975/09/24          210.0          MC
097301         1975/09/25          210.0          MC
097301         1975/09/26          212.0          MC
097301         1975/09/27          215.0          MC
097301         1975/09/28          214.0          MC
097301         1975/09/29          215.0          MC
097301         1975/09/30          215.0          MC
097301         1975/10/01          214.0          MC
097301         1975/10/02          212.0          MC
097301         1975/10/03          212.0          MC
097301         1975/10/04          211.0          MC
097301         1975/10/05          209.0          MC
097301         1975/10/06          209.0          MC
097301         1975/10/07          210.0          MC
097301         1975/10/08          199.0          MC
097301         1975/10/09          182.0          MC
097301         1975/10/10          182.0          MC
097301         1975/10/11          199.0          MC
097301         1975/10/12          198.0          MC
097301         1975/10/13          192.0          MC
097301         1975/10/14          191.0          MC
097301         1975/10/15          191.0          MC
097301         1975/10/16          191.0          MC
097301         1975/10/17          191.0          MC
097301         1975/10/18          191.0          MC
097301         1975/10/19          192.0          MC
097301         1975/10/20          192.0          MC
097301         1975/10/21          193.0          MC
097301         1975/10/22          195.0          MC
097301         1975/10/23          197.0          MC
097301         1975/10/24          199.0          MC
097301         1975/10/25          204.0          MC
097301         1975/10/26          211.0          MC
097301         1975/10/27          212.0          MC
097301         1975/10/28          214.0          MC
097301         1975/10/29          213.0          MC
097301         1975/10/30          213.0          MC
097301         1975/10/31          211.0          MC
097301         1975/11/01          208.0          MC
097301         1975/11/02          204.0          MC
097301         1975/11/03          204.0          MC
097301         1975/11/04          200.0          MC
097301         1975/11/05          197.0          R
097301         1975/11/06          193.0          R
097301         1975/11/07          185.0          R
097301         1975/11/08          183.0          R
097301         1975/11/09          180.0          R
097301         1975/11/10          177.0          R
097301         1975/11/11          173.0          R
097301         1975/11/12          171.0          R
097301         1975/11/13          168.0          R
097301         1975/11/14          166.0          R
097301         1975/11/15          164.0          R
097301         1975/11/16          161.0          R
097301         1975/11/17          159.0          R
097301         1975/11/18          157.0          R
097301         1975/11/19          154.0          R
097301         1975/11/20          152.0          R
097301         1975/11/21          150.0          R
097301         1975/11/22          147.0          R
097301         1975/11/23          146.0          R
097301         1975/11/24          143.0          R
097301         1975/11/25          141.0          R
097301         1975/11/26          139.0          R
097301         1975/11/27          137.0          R
097301         1975/11/28          135.0          R
097301         1975/11/29          133.0          R
097301         1975/11/30          132.0          R
097301         1975/12/01          129.0          R
097301         1975/12/02          127.0          R
097301         1975/12/03          125.0          R
097301         1975/12/04          124.0          R
097301         1975/12/05          122.0          R
097301         1975/12/06          120.0          R
097301         1975/12/07          118.0          R
097301         1975/12/08          116.0          R
097301         1975/12/09          115.0          R
097301         1975/12/10          113.0          R
097301         1975/12/11          112.0          R
097301         1975/12/12          110.0          R
097301         1975/12/13          109.0          R
097301         1975/12/14          107.0          R
097301         1975/12/15          106.0          R
097301         1975/12/16          104.0          R
097301         1975/12/17          103.0          R
097301         1975/12/18          102.0          R
097301         1975/12/19          101.0          R
097301         1975/12/20          99.10          R
097301         1975/12/21          98.00          R
097301         1975/12/22          96.60          R
097301         1975/12/23          95.40          R
097301         1975/12/24          94.60          R
097301         1975/12/25          93.20          R
097301         1975/12/26          92.00          R
097301         1975/12/27          90.60          R
097301         1975/12/28          89.80          R
097301         1975/12/29          88.30          R
097301         1975/12/30          87.20          R
097301         1975/12/31          86.10          R
097301         1976/01/01          85.00          R
097301         1976/01/02          84.70          R
097301         1976/01/03          83.80          R
097301         1976/01/04          82.70          R
097301         1976/01/05          81.80          R
097301         1976/01/06          80.70          R
097301         1976/01/07          79.90          R
097301         1976/01/08          79.00          R
097301         1976/01/09          78.20          R
097301         1976/01/10          77.00          R
097301         1976/01/11          76.20          R
097301         1976/01/12          75.60          R
097301         1976/01/13          74.50          R
097301         1976/01/14          73.90          R
097301         1976/01/15          73.10          R
097301         1976/01/16          72.20          R
097301         1976/01/17          71.60          R
097301         1976/01/18          70.80          R
097301         1976/01/19          70.20          R
097301         1976/01/20          69.70          R
097301         1976/01/21          68.50          R
097301         1976/01/22          68.00          R
097301         1976/01/23          67.40          R
097301         1976/01/24          66.80          R
097301         1976/01/25          66.00          R
097301         1976/01/26          65.40          R
097301         1976/01/27          64.80          R
097301         1976/01/28          64.60          R
097301         1976/01/29          64.00          R
097301         1976/01/30          63.10          R
097301         1976/01/31          62.60          R
097301         1976/02/01          62.00          R
097301         1976/02/02          61.40          R
097301         1976/02/03          60.90          R
097301         1976/02/04          60.30          R
097301         1976/02/05          59.70          R
097301         1976/02/06          59.20          R
097301         1976/02/07          58.90          R
097301         1976/02/08          58.30          R
097301         1976/02/09          57.50          R
097301         1976/02/10          56.90          R
097301         1976/02/11          56.60          R
097301         1976/02/12          56.40          R
097301         1976/02/13          56.10          R
097301         1976/02/14          55.80          R
097301         1976/02/15          55.50          R
097301         1976/02/16          54.90          R
097301         1976/02/17          54.40          R
097301         1976/02/18          53.80          R
097301         1976/02/19          53.50          R
097301         1976/02/20          53.20          R
097301         1976/02/21          52.70          R
097301         1976/02/22          52.40          R
097301         1976/02/23          51.80          R
097301         1976/02/24          51.50          R
097301         1976/02/25          51.30          R
097301         1976/02/26          50.70          R
097301         1976/02/27          50.40          R
097301         1976/02/28          50.10          R
097301         1976/02/29          49.80          R
097301         1976/03/01          49.60          R
097301         1976/03/02          49.00          R
097301         1976/03/03          48.70          R
097301         1976/03/04          48.40          R
097301         1976/03/05          47.90          R
097301         1976/03/06          47.90          R
097301         1976/03/07          47.60          R
097301         1976/03/08          47.60          R
097301         1976/03/09          47.30          R
097301         1976/03/10          47.00          R
