Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1980-09-30
Station:        102004         Hamelin - à 2,3 km de l'Arnaud                                                                                                                 
Bassin versant: 4120 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 60° 0' 1" // -71° 44' 57"

Date de création du fichier: 2012-07-01 00:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
102004         1962/08/01          114.0          E
102004         1962/08/02          112.0          MC
102004         1962/08/03          110.0          MC
102004         1962/08/04          106.0          E
102004         1962/08/05          104.0          MC
102004         1962/08/06          100.0          MC
102004         1962/08/07          96.30          MC
102004         1962/08/08          93.70          MC
102004         1962/08/09          93.40          MC
102004         1962/08/10          93.20          MC
102004         1962/08/11          89.80          MC
102004         1962/08/12          84.10          MC
102004         1962/08/13          82.10          MC
102004         1962/08/14          80.70          MC
102004         1962/08/15          79.30          MC
102004         1962/08/16          79.90          MC
102004         1962/08/17          77.60          MC
102004         1962/08/18          74.20          MC
102004         1962/08/19          72.50          MC
102004         1962/08/20          68.50          MC
102004         1962/08/21          68.20          MC
102004         1962/08/22          68.20          MC
102004         1962/08/23          68.20          MC
102004         1962/08/24          66.80          MC
102004         1962/08/25          71.40          MC
102004         1962/08/26          75.60          MC
102004         1962/08/27          75.00          MC
102004         1962/08/28          73.10          MC
102004         1962/08/29          75.30          MC
102004         1962/08/30          80.10          MC
102004         1962/08/31          81.30          MC
102004         1962/09/01          75.00          MC
102004         1962/09/02          71.90          MC
102004         1962/09/03          75.00          MC
102004         1962/09/04          76.50          MC
102004         1962/09/05          73.10          MC
102004         1962/09/06          73.10          MC
102004         1962/09/07          75.90          MC
102004         1962/09/08          77.90          MC
102004         1962/09/09          76.70          MC
102004         1962/09/10          77.60          MC
102004         1962/09/11          75.00          MC
102004         1962/09/12          73.90          MC
102004         1962/09/13          75.30          MC
102004         1962/09/14          77.30          MC
102004         1962/09/15          68.80          MC
102004         1962/09/16          72.80          MC
102004         1962/09/17          77.30          MC
102004         1962/09/18          71.40          MC
102004         1962/09/19          63.40          MC
102004         1962/09/20          69.10          MC
102004         1962/09/21          73.90          MC
102004         1962/09/22          71.90          MC
102004         1962/09/23          79.60          MC
102004         1962/09/24          81.00          MC
102004         1962/09/25          74.50          MC
102004         1962/09/26          73.10          MC
102004         1962/09/27          72.80          MC
102004         1962/09/28          76.70          MC
102004         1962/09/29          73.90          MC
102004         1962/09/30          71.60          MC
102004         1962/10/01          66.30          MC
102004         1962/10/02          67.70          MC
102004         1962/10/03          69.70          MC
102004         1962/10/04          66.30          MC
102004         1962/10/05          66.80          MC
102004         1962/10/06          66.80          R
102004         1962/10/07          66.80          R
102004         1962/10/08          65.10          R
102004         1962/10/09          64.60          R
102004         1962/10/10          63.40          R
102004         1962/10/11          62.30          R
102004         1962/10/12          61.70          R
102004         1962/10/13          59.50          R
102004         1962/10/14          56.60          R
102004         1962/10/15          53.80          R
102004         1962/10/16          51.00          R
102004         1962/10/17          46.70          R
102004         1962/10/18          45.30          R
102004         1962/10/19          44.50          R
102004         1962/10/20          45.30          R
102004         1962/10/21          45.90          R
102004         1962/10/22          47.00          R
102004         1962/10/23          46.40          R
102004         1962/10/24          45.90          R
102004         1962/10/25          45.30          R
102004         1962/10/26          45.30          R
102004         1962/10/27          45.30          R
102004         1962/10/28          45.30          R
102004         1962/10/29          44.50          R
102004         1962/10/30          43.30          R
102004         1962/10/31          42.50          R
102004         1962/11/01          42.20          R
102004         1962/11/02          41.30          R
102004         1962/11/03          40.20          R
102004         1962/11/04          39.60          R
102004         1962/11/05          38.50          R
102004         1962/11/06          37.10          R
102004         1962/11/07          36.50          R
102004         1962/11/08          35.70          R
102004         1962/11/09          34.00          R
102004         1962/11/10          33.10          R
102004         1962/11/11          32.00          R
102004         1962/11/12          30.90          R
102004         1962/11/13          30.00          R
102004         1962/11/14          28.90          R
102004         1962/11/15          28.00          R
102004         1962/11/16          27.80          R
102004         1962/11/17          27.20          R
102004         1962/11/18          26.30          R
102004         1962/11/19          25.50          R
102004         1962/11/20          24.90          R
102004         1962/11/21          24.40          R
102004         1962/11/22          23.80          R
102004         1962/11/23          23.20          R
102004         1962/11/24          22.90          R
102004         1962/11/25          22.70          R
102004         1962/11/26          22.40          R
102004         1962/11/27          22.10          R
102004         1962/11/28          22.10          R
102004         1962/11/29          21.80          R
102004         1962/11/30          21.50          R
102004         1962/12/01          21.50          R
102004         1962/12/02          21.20          R
102004         1962/12/03          21.00          R
102004         1962/12/04          20.80          R
102004         1962/12/05          20.70          R
102004         1962/12/06          20.40          R
102004         1962/12/07          20.10          R
102004         1962/12/08          19.80          R
102004         1962/12/09          19.30          R
102004         1962/12/10          19.00          R
102004         1962/12/11          18.70          R
102004         1962/12/12          18.10          R
102004         1962/12/13          17.60          R
102004         1962/12/14          17.00          R
102004         1962/12/15          16.40          R
102004         1962/12/16          15.90          R
102004         1962/12/17          15.30          R
102004         1962/12/18          14.70          R
102004         1962/12/19          13.90          R
102004         1962/12/20          13.50          R
102004         1962/12/21          13.00          R
102004         1962/12/22          12.50          R
102004         1962/12/23          11.90          R
102004         1962/12/24          11.00          R
102004         1962/12/25          10.80          R
102004         1962/12/26          10.20          R
102004         1962/12/27          9.770          R
102004         1962/12/28          9.340          R
102004         1962/12/29          8.920          R
102004         1962/12/30          8.500          R
102004         1962/12/31          7.930          R
102004         1963/01/01          7.650          R
102004         1963/01/02          7.080          R
102004         1963/01/03          6.800          R
102004         1963/01/04          6.510          R
102004         1963/01/05          6.090          R
102004         1963/01/06          5.660          R
102004         1963/01/07          5.520          R
102004         1963/01/08          5.300          R
102004         1963/01/09          4.810          R
102004         1963/01/10          4.640          R
102004         1963/01/11          4.470          R
102004         1963/01/12          4.250          R
102004         1963/01/13          4.130          R
102004         1963/01/14          3.960          R
102004         1963/01/15          3.880          R
102004         1963/01/16          3.770          R
102004         1963/01/17          3.650          R
102004         1963/01/18          3.540          R
102004         1963/01/19          3.450          R
102004         1963/01/20          3.340          R
102004         1963/01/21          3.280          R
