Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1982-09-30
Station:        102010         Lepellé - à 0,5 km en aval de la Groust                                                                                                        
Bassin versant: 10200 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 60° 11' 31" // -72° 39' 36"

Date de création du fichier: 2012-07-01 00:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
102010         1962/08/06          289.0          MC
102010         1962/08/07          283.0          MC
102010         1962/08/08          279.0          MC
102010         1962/08/09          272.0          MC
102010         1962/08/10          264.0          MC
102010         1962/08/11          256.0          MC
102010         1962/08/12          249.0          MC
102010         1962/08/13          242.0          MC
102010         1962/08/14          235.0          MC
102010         1962/08/15          229.0          MC
102010         1962/08/16          228.0          MC
102010         1962/08/17          232.0          MC
102010         1962/08/18          242.0          MC
102010         1962/08/19          251.0          MC
102010         1962/08/20          249.0          MC
102010         1962/08/21          242.0          MC
102010         1962/08/22          230.0          MC
102010         1962/08/23          230.0          MC
102010         1962/08/24          236.0          MC
102010         1962/08/25          258.0          MC
102010         1962/08/26          283.0          MC
102010         1962/08/27          282.0          MC
102010         1962/08/28          277.0          MC
102010         1962/08/29          271.0          MC
102010         1962/08/30          323.0          MC
102010         1962/08/31          340.0          MC
102010         1962/09/01          331.0          MC
102010         1962/09/02          314.0          MC
102010         1962/09/03          303.0          MC
102010         1962/09/04          294.0          MC
102010         1962/09/05          286.0          MC
102010         1962/09/06          279.0          MC
102010         1962/09/07          277.0          MC
102010         1962/09/08          279.0          MC
102010         1962/09/09          277.0          MC
102010         1962/09/10          270.0          MC
102010         1962/09/11          262.0          MC
102010         1962/09/12          249.0          MC
102010         1962/09/13          239.0          MC
102010         1962/09/14          242.0          MC
102010         1962/09/15          242.0          MC
102010         1962/09/16          240.0          MC
102010         1962/09/17          235.0          MC
102010         1962/09/18          228.0          MC
102010         1962/09/19          216.0          MC
102010         1962/09/20          213.0          MC
102010         1962/09/21          216.0          MC
102010         1962/09/22          210.0          MC
102010         1962/09/23          212.0          MC
102010         1962/09/24          239.0          MC
102010         1962/09/25          235.0          MC
102010         1962/09/26          230.0          MC
102010         1962/09/27          230.0          MC
102010         1962/09/28          230.0          MC
102010         1962/09/29          218.0          MC
102010         1962/09/30          210.0          MC
102010         1962/10/01          197.0          MC
102010         1962/10/02          193.0          MC
102010         1962/10/03          208.0          MC
102010         1962/10/04          215.0          MC
102010         1962/10/05          195.0          R
102010         1962/10/06          190.0          R
102010         1962/10/07          187.0          R
102010         1962/10/08          184.0          R
102010         1962/10/09          183.0          R
102010         1962/10/10          181.0          R
102010         1962/10/11          178.0          R
102010         1962/10/12          176.0          R
102010         1962/10/13          173.0          R
102010         1962/10/14          170.0          R
102010         1962/10/15          167.0          R
102010         1962/10/16          164.0          R
102010         1962/10/17          161.0          R
102010         1962/10/18          159.0          R
102010         1962/10/19          156.0          R
102010         1962/10/20          153.0          R
102010         1962/10/21          147.0          R
102010         1962/10/22          144.0          R
102010         1962/10/23          142.0          R
102010         1962/10/24          136.0          R
102010         1962/10/25          132.0          R
102010         1962/10/26          127.0          R
102010         1962/10/27          122.0          R
102010         1962/10/28          116.0          R
102010         1962/10/29          113.0          R
102010         1962/10/30          109.0          R
102010         1962/10/31          106.0          R
102010         1962/11/01          105.0          R
102010         1962/11/02          102.0          R
102010         1962/11/03          99.10          R
102010         1962/11/04          96.30          R
102010         1962/11/05          94.90          R
102010         1962/11/06          93.40          R
102010         1962/11/07          92.00          R
102010         1962/11/08          90.60          R
102010         1962/11/09          89.20          R
102010         1962/11/10          87.80          R
102010         1962/11/11          86.40          R
102010         1962/11/12          85.00          R
102010         1962/11/13          83.50          R
102010         1962/11/14          82.10          R
102010         1962/11/15          80.70          R
102010         1962/11/16          79.30          R
102010         1962/11/17          78.20          R
102010         1962/11/18          77.30          R
102010         1962/11/19          76.50          R
102010         1962/11/20          75.60          R
102010         1962/11/21          75.00          R
102010         1962/11/22          74.50          R
102010         1962/11/23          73.60          R
102010         1962/11/24          72.20          R
102010         1962/11/25          70.80          R
102010         1962/11/26          70.20          R
102010         1962/11/27          69.70          R
102010         1962/11/28          68.50          R
102010         1962/11/29          67.40          R
