Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1981-09-30
Station:        102015         Lac Klotz - au lac Klotz                                                                                                                       
Bassin versant: 4450 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 60° 26' 5" // -73° 15' 58"
Constante géodésique: aucune
Date de création du fichier: 2012-06-24 01:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
102015         1975/08/14          27.88          PL
102015         1975/08/15          27.87          PL
102015         1975/08/16          27.84          PL
102015         1975/08/17          27.84          PL
102015         1975/08/18          27.82          PL
102015         1975/08/19          27.80          PL
102015         1975/08/20          27.80          PL
102015         1975/08/21          27.81          PL
102015         1975/08/22          27.80          PL
102015         1975/08/23          27.79          PL
102015         1975/08/24          27.79          PL
102015         1975/08/25          27.77          PL
102015         1975/08/26          27.78          PL
102015         1975/08/27          27.78          PL
102015         1975/08/28          27.80          PL
102015         1975/08/29          27.79          PL
102015         1975/08/30          27.78          PL
102015         1975/08/31          27.77          PL
102015         1975/09/01          27.77          PL
102015         1975/09/02          27.76          PL
102015         1975/09/03          27.74          PL
102015         1975/09/04          27.73          PL
102015         1975/09/05          27.72          PL
102015         1975/09/06          27.71          PL
102015         1975/09/07          27.71          PL
102015         1975/09/08          27.71          PL
102015         1975/09/09          27.71          PL
102015         1975/09/10          27.70          PL
102015         1975/09/11          27.69          PL
102015         1975/09/12          27.68          PL
102015         1975/09/13          27.68          PL
102015         1975/09/14          27.69          PL
102015         1975/09/15          27.70          PL
102015         1975/09/16          27.68          PL
102015         1975/09/17          27.69          PL
102015         1975/09/18          27.68          PL
102015         1975/09/19          27.68          PL
102015         1975/09/20          27.69          PL
102015         1975/09/21          27.68          PL
102015         1975/09/22          27.67          PL
102015         1975/09/23          27.66          PL
102015         1975/09/24          27.66          PL
102015         1975/09/25          27.65          PL
102015         1975/09/26          27.65          PL
102015         1975/09/27          27.64          PL
102015         1975/09/28          27.64          PL
102015         1975/09/29          27.63          PL
102015         1975/09/30          27.62          PL
102015         1975/10/01          27.62          PL
102015         1975/10/02          27.61          PL
102015         1975/10/03          27.59          PL
102015         1975/10/04          27.59          PL
102015         1975/10/05          27.58          PL
102015         1975/10/06          27.58          PL
102015         1975/10/07          27.58          PL
102015         1975/10/08          27.55          PL
102015         1975/10/09          27.54          PL
102015         1975/10/10          27.53          PL
102015         1975/10/11          27.53          PL
102015         1975/10/12          27.51          PL
102015         1975/10/13          27.50          PL
102015         1975/10/14          27.50          PL
102015         1975/10/15          27.49          PL
102015         1975/10/16          27.48          PL
102015         1975/10/17          27.48          PL
102015         1975/10/18          27.48          PL
102015         1975/10/19          27.47          PL
102015         1975/10/20          27.46          PL
102015         1975/10/21          27.44          PL
102015         1975/10/22          27.44          PL
102015         1975/10/23          27.44          PL
102015         1975/10/24          27.42          PL
102015         1975/10/25          27.41          PL
102015         1975/10/26          27.40          PL
102015         1975/10/27          27.41          PL
102015         1975/10/28          27.41          PL
102015         1975/10/29          27.40          PL
102015         1975/10/30          27.40          PL
102015         1975/10/31          27.38          PL
102015         1975/11/01          27.38          PL
102015         1975/11/02          27.38          PL
102015         1975/11/03          27.38          PL
102015         1975/11/04          27.36          PL
102015         1975/11/05          27.34          PL
102015         1975/11/06          27.34          PL
102015         1975/11/07          27.31          PL
102015         1975/11/08          27.33          PL
102015         1975/11/09          27.29          PL
102015         1975/11/10          27.27          PL
102015         1975/11/11          27.27          PL
102015         1975/11/12          27.28          PL
102015         1975/11/13          27.27          PL
102015         1975/11/14          27.26          PL
102015         1975/11/15          27.25          PL
102015         1975/11/16          27.25          PL
102015         1975/11/17          27.24          PL
102015         1975/11/18          27.23          PL
102015         1975/11/19          27.21          PL
102015         1975/11/20          27.20          PL
102015         1975/11/21          27.19          PL
102015         1975/11/22          27.17          PL
102015         1975/11/23          27.15          PL
102015         1975/11/24          27.15          PL
102015         1975/11/25          27.12          PL
102015         1975/11/26          27.12          PL
102015         1975/11/27          27.10          PL
102015         1975/11/28          27.09          PL
102015         1975/11/29          27.07          PL
102015         1975/11/30          27.07          PL
102015         1975/12/01          27.09          PL
102015         1975/12/02          27.07          PL
102015         1975/12/03          27.06          PL
102015         1975/12/04          27.06          PL
102015         1975/12/05          27.04          PL
102015         1975/12/06          27.05          PL
102015         1975/12/07          27.03          PL
102015         1975/12/08          27.02          PL
102015         1975/12/09          27.00          PL
102015         1975/12/10          26.98          PL
102015         1975/12/11          26.99          PL
102015         1975/12/12          26.98          PL
102015         1975/12/13          
102015         1975/12/14          
102015         1975/12/15          
102015         1975/12/16          
102015         1975/12/17          
102015         1975/12/18          
102015         1975/12/19          
102015         1975/12/20          
102015         1975/12/21          
102015         1975/12/22          
102015         1975/12/23          
102015         1975/12/24          
102015         1975/12/25          
102015         1975/12/26          
102015         1975/12/27          
102015         1975/12/28          
102015         1975/12/29          
102015         1975/12/30          
102015         1975/12/31          
102015         1976/01/01          
102015         1976/01/02          
102015         1976/01/03          
102015         1976/01/04          
102015         1976/01/05          
102015         1976/01/06          
102015         1976/01/07          
102015         1976/01/08          
102015         1976/01/09          
102015         1976/01/10          
102015         1976/01/11          
102015         1976/01/12          
102015         1976/01/13          
102015         1976/01/14          
102015         1976/01/15          
102015         1976/01/16          
102015         1976/01/17          
102015         1976/01/18          
102015         1976/01/19          
102015         1976/01/20          
102015         1976/01/21          
102015         1976/01/22          
102015         1976/01/23          
102015         1976/01/24          
102015         1976/01/25          
102015         1976/01/26          
102015         1976/01/27          
102015         1976/01/28          
102015         1976/01/29          
102015         1976/01/30          
102015         1976/01/31          
102015         1976/02/01          
102015         1976/02/02          26.60          PL
102015         1976/02/03          26.60          PL
102015         1976/02/04          26.58          PL
102015         1976/02/05          26.55          PL
102015         1976/02/06          26.55          PL
102015         1976/02/07          
102015         1976/02/08          
102015         1976/02/09          
102015         1976/02/10          
102015         1976/02/11          
102015         1976/02/12          
102015         1976/02/13          
102015         1976/02/14          
102015         1976/02/15          
102015         1976/02/16          
102015         1976/02/17          
102015         1976/02/18          
102015         1976/02/19          
102015         1976/02/20          
102015         1976/02/21          
102015         1976/02/22          
102015         1976/02/23          
102015         1976/02/24          
102015         1976/02/25          
102015         1976/02/26          
102015         1976/02/27          
102015         1976/02/28          
102015         1976/02/29          
102015         1976/03/01          
102015         1976/03/02          
102015         1976/03/03          
102015         1976/03/04          
102015         1976/03/05          
102015         1976/03/06          
102015         1976/03/07          
102015         1976/03/08          
102015         1976/03/09          
102015         1976/03/10          
102015         1976/03/11          
102015         1976/03/12          
102015         1976/03/13          
102015         1976/03/14          
102015         1976/03/15          
102015         1976/03/16          
102015         1976/03/17          
102015         1976/03/18          
102015         1976/03/19          
102015         1976/03/20          
102015         1976/03/21          
102015         1976/03/22          
102015         1976/03/23          
102015         1976/03/24          
102015         1976/03/25          
102015         1976/03/26          
102015         1976/03/27          
102015         1976/03/28          
102015         1976/03/29          26.36          PL
102015         1976/03/30          26.36          PL
102015         1976/03/31          26.36          PL
102015         1976/04/01          26.36          PL
102015         1976/04/02          26.36          PL
102015         1976/04/03          26.35          PL
102015         1976/04/04          26.33          PL
102015         1976/04/05          26.34          PL
102015         1976/04/06          26.36          PL
102015         1976/04/07          26.34          PL
102015         1976/04/08          26.33          PL
102015         1976/04/09          26.33          PL
102015         1976/04/10          26.36          PL
102015         1976/04/11          26.35          PL
102015         1976/04/12          26.33          PL
102015         1976/04/13          26.33          PL
102015         1976/04/14          26.33          PL
102015         1976/04/15          26.32          PL
102015         1976/04/16          26.33          PL
102015         1976/04/17          26.33          PL
102015         1976/04/18          26.32          PL
102015         1976/04/19          26.33          PL
102015         1976/04/20          26.32          PL
102015         1976/04/21          26.32          PL
102015         1976/04/22          26.32          PL
102015         1976/04/23          26.32          PL
102015         1976/04/24          26.33          PL
102015         1976/04/25          26.36          PL
102015         1976/04/26          26.39          PL
102015         1976/04/27          26.41          PL
102015         1976/04/28          26.41          PL
102015         1976/04/29          26.41          PL
102015         1976/04/30          26.41          PL
102015         1976/05/01          26.41          PL
102015         1976/05/02          26.41          PL
102015         1976/05/03          26.41          PL
102015         1976/05/04          26.42          PL
102015         1976/05/05          26.42          PL
102015         1976/05/06          26.41          PL
102015         1976/05/07          26.40          PL
102015         1976/05/08          26.39          PL
102015         1976/05/09          26.41          PL
102015         1976/05/10          26.38          PL
102015         1976/05/11          26.38          PL
102015         1976/05/12          26.37          PL
102015         1976/05/13          26.37          PL
102015         1976/05/14          26.38          PL
102015         1976/05/15          26.37          PL
102015         1976/05/16          26.38          PL
102015         1976/05/17          26.39          PL
102015         1976/05/18          26.38          PL
102015         1976/05/19          26.38          PL
102015         1976/05/20          26.38          PL
102015         1976/05/21          26.39          PL
102015         1976/05/22          26.39          PL
102015         1976/05/23          26.39          PL
102015         1976/05/24          26.40          PL
102015         1976/05/25          26.42          PL
102015         1976/05/26          26.43          PL
102015         1976/05/27          26.43          PL
102015         1976/05/28          26.43          PL
102015         1976/05/29          26.44          PL
102015         1976/05/30          26.44          PL
102015         1976/05/31          26.44          PL
102015         1976/06/01          26.45          PL
