Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1988-03-17
Station:        102701         Aux Feuilles - à 6,4 km en aval de la Péladeau                                                                                                 
Bassin versant: 41700 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 58° 38' 26" // -70° 25' 12"

Date de création du fichier: 2012-07-01 01:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
102701         1962/07/16          1350           MC
102701         1962/07/17          1280           MC
102701         1962/07/18          1210           MC
102701         1962/07/19          1150           MC
102701         1962/07/20          1110           MC
102701         1962/07/21          1060           MC
102701         1962/07/22          991.0          MC
102701         1962/07/23          937.0          MC
102701         1962/07/24          906.0          MC
102701         1962/07/25          881.0          MC
102701         1962/07/26          861.0          MC
102701         1962/07/27          821.0          MC
102701         1962/07/28          784.0          MC
102701         1962/07/29          748.0          MC
102701         1962/07/30          719.0          MC
102701         1962/07/31          702.0          MC
102701         1962/08/01          688.0          MC
102701         1962/08/02          677.0          MC
102701         1962/08/03          660.0          MC
102701         1962/08/04          651.0          MC
102701         1962/08/05          651.0          MC
102701         1962/08/06          648.0          MC
102701         1962/08/07          631.0          MC
102701         1962/08/08          606.0          MC
102701         1962/08/09          578.0          MC
102701         1962/08/10          561.0          MC
102701         1962/08/11          544.0          MC
102701         1962/08/12          530.0          MC
102701         1962/08/13          513.0          MC
102701         1962/08/14          501.0          MC
102701         1962/08/15          484.0          MC
102701         1962/08/16          479.0          MC
102701         1962/08/17          462.0          MC
102701         1962/08/18          459.0          MC
102701         1962/08/19          459.0          MC
