Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1990-04-01
Station:        102705         Lac Minto - au lac Minto                                                                                                                       
Bassin versant: 5540 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 57° 17' 48" // -74° 44' 58"
Constante géodésique: aucune
Date de création du fichier: 2012-06-24 01:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Niveau (m)     Remarque
102705         1975/06/19          27.34          PL
102705         1975/06/20          27.33          PL
102705         1975/06/21          27.34          PL
102705         1975/06/22          27.36          PL
102705         1975/06/23          27.33          PL
102705         1975/06/24          27.33          PL
102705         1975/06/25          27.32          PL
102705         1975/06/26          27.33          PL
102705         1975/06/27          27.32          PL
102705         1975/06/28          27.31          PL
102705         1975/06/29          27.30          PL
102705         1975/06/30          27.28          PL
102705         1975/07/01          27.28          PL
102705         1975/07/02          27.26          PL
102705         1975/07/03          27.23          PL
102705         1975/07/04          27.22          PL
102705         1975/07/05          27.21          PL
102705         1975/07/06          27.21          PL
102705         1975/07/07          27.19          PL
102705         1975/07/08          27.20          PL
102705         1975/07/09          27.19          PL
102705         1975/07/10          27.18          PL
102705         1975/07/11          27.17          PL
102705         1975/07/12          27.16          PL
102705         1975/07/13          27.15          PL
102705         1975/07/14          27.14          PL
102705         1975/07/15          27.13          PL
102705         1975/07/16          27.11          PL
102705         1975/07/17          27.09          PL
102705         1975/07/18          27.09          PL
102705         1975/07/19          27.08          PL
102705         1975/07/20          27.07          PL
102705         1975/07/21          27.06          PL
102705         1975/07/22          27.05          PL
102705         1975/07/23          27.06          PL
102705         1975/07/24          27.04          PL
102705         1975/07/25          27.03          PL
102705         1975/07/26          27.03          PL
102705         1975/07/27          27.01          PL
102705         1975/07/28          27.00          PL
102705         1975/07/29          27.00          PL
102705         1975/07/30          26.99          PL
102705         1975/07/31          26.97          PL
102705         1975/08/01          26.95          PL
102705         1975/08/02          26.94          PL
102705         1975/08/03          26.94          PL
102705         1975/08/04          26.93          PL
102705         1975/08/05          26.92          PL
102705         1975/08/06          26.90          PL
102705         1975/08/07          26.88          PL
102705         1975/08/08          26.87          PL
102705         1975/08/09          26.88          PL
102705         1975/08/10          26.87          PL
102705         1975/08/11          26.87          PL
102705         1975/08/12          26.87          PL
102705         1975/08/13          26.87          PL
102705         1975/08/14          26.85          PL
102705         1975/08/15          26.85          PL
102705         1975/08/16          26.82          PL
102705         1975/08/17          26.82          PL
102705         1975/08/18          26.84          PL
102705         1975/08/19          26.88          PL
102705         1975/08/20          26.90          PL
102705         1975/08/21          26.92          PL
102705         1975/08/22          26.94          PL
102705         1975/08/23          26.95          PL
102705         1975/08/24          26.95          PL
102705         1975/08/25          26.97          PL
102705         1975/08/26          26.98          PL
102705         1975/08/27          26.97          PL
102705         1975/08/28          26.94          PL
102705         1975/08/29          26.94          PL
102705         1975/08/30          26.93          PL
102705         1975/08/31          26.92          PL
102705         1975/09/01          26.92          PL
102705         1975/09/02          26.91          PL
102705         1975/09/03          26.91          PL
102705         1975/09/04          26.91          PL
102705         1975/09/05          26.91          PL
102705         1975/09/06          26.91          PL
102705         1975/09/07          26.90          PL
102705         1975/09/08          26.91          PL
102705         1975/09/09          26.91          PL
102705         1975/09/10          26.90          PL
102705         1975/09/11          26.89          PL
102705         1975/09/12          26.90          PL
102705         1975/09/13          26.90          PL
102705         1975/09/14          26.88          PL
102705         1975/09/15          26.88          PL
102705         1975/09/16          26.87          PL
102705         1975/09/17          26.87          PL
102705         1975/09/18          26.87          PL
102705         1975/09/19          26.87          PL
102705         1975/09/20          26.87          PL
102705         1975/09/21          26.85          PL
102705         1975/09/22          26.87          PL
102705         1975/09/23          26.87          PL
102705         1975/09/24          26.87          PL
102705         1975/09/25          26.87          PL
102705         1975/09/26          26.86          PL
102705         1975/09/27          26.84          PL
102705         1975/09/28          26.83          PL
102705         1975/09/29          26.81          PL
102705         1975/09/30          26.81          PL
102705         1975/10/01          26.82          PL
102705         1975/10/02          26.83          PL
102705         1975/10/03          26.82          PL
102705         1975/10/04          26.82          PL
102705         1975/10/05          26.82          PL
102705         1975/10/06          26.83          PL
102705         1975/10/07          26.82          PL
102705         1975/10/08          26.82          PL
102705         1975/10/09          26.82          PL
102705         1975/10/10          26.83          PL
102705         1975/10/11          26.83          PL
102705         1975/10/12          26.83          PL
102705         1975/10/13          26.83          PL
102705         1975/10/14          26.83          PL
102705         1975/10/15          26.83          PL
102705         1975/10/16          26.83          PL
102705         1975/10/17          26.82          PL
102705         1975/10/18          26.82          PL
