Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        102706         Aux Feuilles - à 2,8 km en amont du ruisseau Dufreboy                                                                                          
Bassin versant: 33700 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 58° 16' 40" // -71° 18' 42"

Date de création du fichier: 2019-11-29 22:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
102706         1987/10/01          590.0          MC
102706         1987/10/02          571.0          MC
102706         1987/10/03          556.0          MC
102706         1987/10/04          539.0          MC
102706         1987/10/05          527.0          MC
102706         1987/10/06          510.0          MC
102706         1987/10/07          527.0          MC
102706         1987/10/08          569.0          MC
102706         1987/10/09          610.0          MC
102706         1987/10/10          628.0          MC
102706         1987/10/11          624.0          MC
102706         1987/10/12          624.0          MC
102706         1987/10/13          616.0          MC
102706         1987/10/14          604.0          MC
102706         1987/10/15          603.0          MC
102706         1987/10/16          589.0          MC
102706         1987/10/17          586.0          MC
102706         1987/10/18          573.0          MC
102706         1987/10/19          552.0          MC
102706         1987/10/20          550.0          MC
102706         1987/10/21          536.0          MC
102706         1987/10/22          528.0          MC
102706         1987/10/23          515.0          MC
102706         1987/10/24          500.0          R
102706         1987/10/25          498.0          R
102706         1987/10/26          484.0          R
102706         1987/10/27          477.0          R
102706         1987/10/28          468.0          R
102706         1987/10/29          461.0          R
102706         1987/10/30          451.0          R
102706         1987/10/31          441.0          R
102706         1987/11/01          434.0          R
102706         1987/11/02          425.0          R
102706         1987/11/03          418.0          R
102706         1987/11/04          409.0          R
102706         1987/11/05          403.0          R
102706         1987/11/06          395.0          R
102706         1987/11/07          387.0          R
102706         1987/11/08          380.0          R
102706         1987/11/09          373.0          R
102706         1987/11/10          368.0          R
102706         1987/11/11          360.0          R
102706         1987/11/12          354.0          R
102706         1987/11/13          349.0          R
102706         1987/11/14          344.0          R
102706         1987/11/15          341.0          R
102706         1987/11/16          335.0          R
102706         1987/11/17          327.0          R
102706         1987/11/18          322.0          R
102706         1987/11/19          317.0          R
102706         1987/11/20          310.0          R
102706         1987/11/21          305.0          R
102706         1987/11/22          299.0          R
102706         1987/11/23          291.0          R
102706         1987/11/24          284.0          R
102706         1987/11/25          279.0          R
102706         1987/11/26          273.0          R
102706         1987/11/27          267.0          R
102706         1987/11/28          262.0          R
102706         1987/11/29          257.0          R
102706         1987/11/30          253.0          R
102706         1987/12/01          247.0          R
102706         1987/12/02          242.0          R
102706         1987/12/03          238.0          R
102706         1987/12/04          233.0          R
102706         1987/12/05          229.0          R
102706         1987/12/06          224.0          R
102706         1987/12/07          219.0          R
102706         1987/12/08          214.0          R
102706         1987/12/09          211.0          R
102706         1987/12/10          208.0          R
102706         1987/12/11          203.0          R
102706         1987/12/12          199.0          R
102706         1987/12/13          195.0          R
102706         1987/12/14          192.0          R
102706         1987/12/15          188.0          R
102706         1987/12/16          185.0          R
102706         1987/12/17          181.0          R
102706         1987/12/18          178.0          R
102706         1987/12/19          175.0          R
