Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1972-07-06
Station:        103501         Highfall - à 1,9 km de la Koksoak                                                                                                              
Bassin versant: 736 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 58° 1' 35" // -68° 29' 4"

Date de création du fichier: 2012-07-01 01:20
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
103501         1963/03/26          0.710          MC
103501         1963/03/27          
103501         1963/03/28          
103501         1963/03/29          
103501         1963/03/30          
103501         1963/03/31          
103501         1963/04/01          
103501         1963/04/02          
103501         1963/04/03          
103501         1963/04/04          
103501         1963/04/05          
103501         1963/04/06          
103501         1963/04/07          
103501         1963/04/08          
103501         1963/04/09          
103501         1963/04/10          
103501         1963/04/11          
103501         1963/04/12          
103501         1963/04/13          
103501         1963/04/14          
103501         1963/04/15          
103501         1963/04/16          
103501         1963/04/17          
103501         1963/04/18          
103501         1963/04/19          
103501         1963/04/20          
103501         1963/04/21          
103501         1963/04/22          
103501         1963/04/23          
103501         1963/04/24          
103501         1963/04/25          
103501         1963/04/26          
103501         1963/04/27          
103501         1963/04/28          
103501         1963/04/29          
103501         1963/04/30          
103501         1963/05/01          
103501         1963/05/02          
103501         1963/05/03          
103501         1963/05/04          
103501         1963/05/05          
103501         1963/05/06          
103501         1963/05/07          
103501         1963/05/08          
103501         1963/05/09          
103501         1963/05/10          
103501         1963/05/11          
103501         1963/05/12          
103501         1963/05/13          
103501         1963/05/14          
103501         1963/05/15          
103501         1963/05/16          
103501         1963/05/17          
