Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1993-07-19
Station:        103603         Aux Mélèzes - à 24,0 km en amont de la du gue                                                                                                  
Bassin versant: 8830 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 57° 15' 31" // -71° 4' 45"

Date de création du fichier: 2012-07-01 01:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
103603         1962/08/09          76.50          MC
103603         1962/08/10          75.00          MC
103603         1962/08/11          72.20          MC
103603         1962/08/12          68.80          MC
103603         1962/08/13          66.00          MC
103603         1962/08/14          64.60          MC
103603         1962/08/15          64.60          MC
103603         1962/08/16          65.40          MC
103603         1962/08/17          64.00          MC
103603         1962/08/18          64.60          MC
103603         1962/08/19          65.40          MC
103603         1962/08/20          65.40          MC
103603         1962/08/21          66.00          MC
103603         1962/08/22          68.80          MC
103603         1962/08/23          68.80          MC
103603         1962/08/24          65.40          MC
103603         1962/08/25          71.60          MC
103603         1962/08/26          71.60          MC
103603         1962/08/27          74.50          MC
103603         1962/08/28          74.50          MC
103603         1962/08/29          74.50          MC
103603         1962/08/30          76.50          MC
103603         1962/08/31          78.70          MC
103603         1962/09/01          77.30          MC
103603         1962/09/02          78.70          MC
103603         1962/09/03          81.30          MC
103603         1962/09/04          78.70          MC
103603         1962/09/05          78.70          MC
103603         1962/09/06          80.70          MC
103603         1962/09/07          82.10          MC
103603         1962/09/08          84.10          MC
103603         1962/09/09          85.00          MC
103603         1962/09/10          82.10          MC
103603         1962/09/11          81.30          MC
103603         1962/09/12          82.10          MC
103603         1962/09/13          83.50          MC
103603         1962/09/14          88.30          MC
103603         1962/09/15          99.70          MC
103603         1962/09/16          107.0          MC
103603         1962/09/17          109.0          MC
103603         1962/09/18          113.0          MC
103603         1962/09/19          117.0          MC
103603         1962/09/20          118.0          MC
103603         1962/09/21          119.0          MC
103603         1962/09/22          121.0          MC
103603         1962/09/23          127.0          MC
103603         1962/09/24          129.0          MC
103603         1962/09/25          127.0          MC
103603         1962/09/26          128.0          MC
103603         1962/09/27          125.0          MC
103603         1962/09/28          121.0          MC
103603         1962/09/29          119.0          MC
103603         1962/09/30          119.0          MC
103603         1962/10/01          119.0          MC
103603         1962/10/02          119.0          MC
