Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        103605         Aux Mélèzes - à 7,6 km de la confluence avec la Koksoak                                                                                        
Bassin versant: 40429 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 57° 40' 47" // -69° 37' 2"

Date de création du fichier: 2019-11-29 19:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
103605         1962/08/18          292.0          MC
103605         1962/08/19          300.0          MC
103605         1962/08/20          303.0          MC
103605         1962/08/21          303.0          MC
103605         1962/08/22          303.0          MC
103605         1962/08/23          300.0          MC
103605         1962/08/24          303.0          MC
103605         1962/08/25          306.0          MC
103605         1962/08/26          311.0          MC
103605         1962/08/27          317.0          MC
103605         1962/08/28          320.0          MC
103605         1962/08/29          320.0          MC
103605         1962/08/30          320.0          MC
103605         1962/08/31          323.0          MC
103605         1962/09/01          323.0          MC
103605         1962/09/02          323.0          MC
103605         1962/09/03          326.0          MC
103605         1962/09/04          323.0          MC
103605         1962/09/05          320.0          MC
103605         1962/09/06          326.0          MC
103605         1962/09/07          334.0          MC
103605         1962/09/08          354.0          MC
103605         1962/09/09          362.0          MC
103605         1962/09/10          365.0          MC
103605         1962/09/11          360.0          MC
103605         1962/09/12          360.0          MC
103605         1962/09/13          360.0          MC
103605         1962/09/14          371.0          MC
103605         1962/09/15          425.0          MC
103605         1962/09/16          510.0          MC
103605         1962/09/17          597.0          MC
103605         1962/09/18          634.0          MC
103605         1962/09/19          668.0          MC
103605         1962/09/20          609.0          MC
103605         1962/09/21          745.0          MC
103605         1962/09/22          770.0          MC
103605         1962/09/23          787.0          MC
103605         1962/09/24          796.0          MC
103605         1962/09/25          787.0          MC
103605         1962/09/26          779.0          MC
103605         1962/09/27          742.0          MC
103605         1962/09/28          731.0          MC
103605         1962/09/29          702.0          MC
103605         1962/09/30          680.0          MC
103605         1962/10/01          654.0          MC
103605         1962/10/02          637.0          MC
