Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-08-26, préliminaires par la suite
Station:        104001         À la Baleine - à 40,2 km de l'embouchure                                                                                                       
Bassin versant: 29878 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 57° 53' 19" // -67° 36' 0"

Date de création du fichier: 2019-11-29 22:30
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
104001         1962/07/09          915.0          J
104001         1962/07/10          841.0          MC
104001         1962/07/11          784.0          MC
104001         1962/07/12          728.0          MC
104001         1962/07/13          671.0          MC
104001         1962/07/14          617.0          MC
104001         1962/07/15          572.0          MC
104001         1962/07/16          535.0          MC
104001         1962/07/17          490.0          MC
104001         1962/07/18          467.0          MC
104001         1962/07/19          459.0          MC
104001         1962/07/20          430.0          MC
104001         1962/07/21          416.0          MC
104001         1962/07/22          399.0          MC
104001         1962/07/23          391.0          MC
104001         1962/07/24          382.0          MC
104001         1962/07/25          382.0          MC
104001         1962/07/26          396.0          MC
104001         1962/07/27          408.0          MC
104001         1962/07/28          408.0          MC
104001         1962/07/29          405.0          MC
104001         1962/07/30          402.0          MC
104001         1962/07/31          391.0          MC
104001         1962/08/01          391.0          MC
104001         1962/08/02          379.0          MC
104001         1962/08/03          379.0          MC
104001         1962/08/04          382.0          MC
104001         1962/08/05          374.0          MC
104001         1962/08/06          362.0          MC
104001         1962/08/07          354.0          MC
104001         1962/08/08          351.0          MC
104001         1962/08/09          343.0          MC
104001         1962/08/10          337.0          MC
104001         1962/08/11          326.0          MC
104001         1962/08/12          311.0          MC
104001         1962/08/13          303.0          MC
104001         1962/08/14          292.0          J
104001         1962/08/15          286.0          MC
104001         1962/08/16          276.0          MC
104001         1962/08/17          260.0          MC
104001         1962/08/18          258.0          MC
104001         1962/08/19          250.0          MC
104001         1962/08/20          244.0          MC
104001         1962/08/21          240.0          MC
104001         1962/08/22          240.0          MC
104001         1962/08/23          238.0          MC
104001         1962/08/24          249.0          MC
104001         1962/08/25          262.0          MC
104001         1962/08/26          267.0          MC
104001         1962/08/27          274.0          MC
104001         1962/08/28          281.0          MC
104001         1962/08/29          323.0          J
104001         1962/08/30          351.0          MC
104001         1962/08/31          360.0          MC
104001         1962/09/01          357.0          MC
104001         1962/09/02          343.0          MC
104001         1962/09/03          357.0          MC
104001         1962/09/04          377.0          MC
104001         1962/09/05          405.0          MC
104001         1962/09/06          425.0          MC
104001         1962/09/07          433.0          MC
104001         1962/09/08          439.0          MC
104001         1962/09/09          453.0          MC
104001         1962/09/10          473.0          MC
104001         1962/09/11          493.0          J
104001         1962/09/12          507.0          MC
104001         1962/09/13          507.0          MC
104001         1962/09/14          507.0          MC
104001         1962/09/15          530.0          MC
104001         1962/09/16          583.0          MC
104001         1962/09/17          626.0          MC
104001         1962/09/18          651.0          MC
104001         1962/09/19          668.0          MC
104001         1962/09/20          671.0          MC
104001         1962/09/21          671.0          MC
104001         1962/09/22          674.0          MC
104001         1962/09/23          677.0          MC
104001         1962/09/24          677.0          MC
104001         1962/09/25          665.0          MC
104001         1962/09/26          657.0          MC
104001         1962/09/27          651.0          MC
104001         1962/09/28          640.0          MC
104001         1962/09/29          623.0          MC
104001         1962/09/30          606.0          MC
104001         1962/10/01          597.0          MC
104001         1962/10/02          583.0          MC
104001         1962/10/03          552.0          MC
104001         1962/10/04          538.0          MC
104001         1962/10/05          532.0          MC
104001         1962/10/06          513.0          MC
104001         1962/10/07          493.0          MC
104001         1962/10/08          484.0          MC
104001         1962/10/09          481.0          MC
104001         1962/10/10          464.0          MC
104001         1962/10/11          447.0          MC
104001         1962/10/12          430.0          MC
104001         1962/10/13          428.0          MC
104001         1962/10/14          419.0          MC
104001         1962/10/15          405.0          MC
104001         1962/10/16          411.0          MC
104001         1962/10/17          419.0          MC
104001         1962/10/18          430.0          MC
104001         1962/10/19          430.0          MC
104001         1962/10/20          430.0          MC
104001         1962/10/21          430.0          MC
104001         1962/10/22          439.0          MC
104001         1962/10/23          445.0          MC
104001         1962/10/24          430.0          MC
104001         1962/10/25          430.0          MC
104001         1962/10/26          430.0          R
104001         1962/10/27          396.0          R
104001         1962/10/28          368.0          R
104001         1962/10/29          343.0          R
104001         1962/10/30          323.0          R
104001         1962/10/31          306.0          R
104001         1962/11/01          297.0          R
104001         1962/11/02          294.0          R
104001         1962/11/03          292.0          R
104001         1962/11/04          292.0          R
104001         1962/11/05          286.0          R
104001         1962/11/06          283.0          R
104001         1962/11/07          272.0          R
104001         1962/11/08          263.0          R
104001         1962/11/09          256.0          R
104001         1962/11/10          251.0          R
104001         1962/11/11          238.0          R
104001         1962/11/12          227.0          R
104001         1962/11/13          218.0          R
104001         1962/11/14          210.0          R
104001         1962/11/15          204.0          R
104001         1962/11/16          198.0          R
104001         1962/11/17          193.0          R
104001         1962/11/18          190.0          R
104001         1962/11/19          184.0          R
104001         1962/11/20          180.0          R
104001         1962/11/21          176.0          R
104001         1962/11/22          170.0          R
104001         1962/11/23          166.0          R
104001         1962/11/24          161.0          R
104001         1962/11/25          159.0          R
104001         1962/11/26          156.0          R
104001         1962/11/27          154.0          R
104001         1962/11/28          153.0          R
104001         1962/11/29          153.0          R
104001         1962/11/30          153.0          R
104001         1962/12/01          153.0          R
104001         1962/12/02          153.0          R
104001         1962/12/03          152.0          R
104001         1962/12/04          151.0          R
104001         1962/12/05          151.0          R
104001         1962/12/06          151.0          R
104001         1962/12/07          150.0          R
104001         1962/12/08          150.0          R
104001         1962/12/09          150.0          R
104001         1962/12/10          149.0          R
104001         1962/12/11          149.0          R
104001         1962/12/12          148.0          R
104001         1962/12/13          148.0          R
104001         1962/12/14          148.0          R
104001         1962/12/15          147.0          R
104001         1962/12/16          147.0          R
104001         1962/12/17          145.0          R
104001         1962/12/18          142.0          R
104001         1962/12/19          141.0          R
104001         1962/12/20          139.0          R
104001         1962/12/21          136.0          R
104001         1962/12/22          133.0          R
104001         1962/12/23          130.0          R
104001         1962/12/24          127.0          R
104001         1962/12/25          125.0          R
104001         1962/12/26          123.0          R
104001         1962/12/27          120.0          R
104001         1962/12/28          118.0          R
104001         1962/12/29          116.0          R
104001         1962/12/30          113.0          R
104001         1962/12/31          112.0          R
104001         1963/01/01          110.0          R
104001         1963/01/02          109.0          R
104001         1963/01/03          108.0          R
104001         1963/01/04          105.0          R
104001         1963/01/05          102.0          R
104001         1963/01/06          101.0          R
104001         1963/01/07          99.10          R
104001         1963/01/08          96.30          R
104001         1963/01/09          94.90          R
104001         1963/01/10          93.40          R
104001         1963/01/11          90.60          R
104001         1963/01/12          89.20          R
104001         1963/01/13          87.80          R
104001         1963/01/14          86.40          R
104001         1963/01/15          85.00          R
104001         1963/01/16          83.50          R
104001         1963/01/17          82.10          R
104001         1963/01/18          82.10          R
104001         1963/01/19          80.70          R
104001         1963/01/20          79.30          R
104001         1963/01/21          79.30          R
104001         1963/01/22          77.90          R
104001         1963/01/23          76.50          R
104001         1963/01/24          76.50          R
104001         1963/01/25          75.00          R
104001         1963/01/26          75.00          R
104001         1963/01/27          75.00          J
104001         1963/01/28          73.60          R
104001         1963/01/29          73.60          R
104001         1963/01/30          72.20          R
104001         1963/01/31          72.20          R
104001         1963/02/01          70.80          R
104001         1963/02/02          70.80          R
104001         1963/02/03          70.80          R
104001         1963/02/04          69.40          R
104001         1963/02/05          69.40          R
104001         1963/02/06          69.40          R
104001         1963/02/07          68.80          R
104001         1963/02/08          68.20          R
104001         1963/02/09          68.00          R
104001         1963/02/10          67.70          R
104001         1963/02/11          67.40          R
104001         1963/02/12          66.50          R
104001         1963/02/13          66.30          R
104001         1963/02/14          65.70          R
104001         1963/02/15          65.10          R
104001         1963/02/16          65.10          R
104001         1963/02/17          64.80          R
104001         1963/02/18          64.30          R
104001         1963/02/19          63.70          R
104001         1963/02/20          63.40          R
104001         1963/02/21          62.90          R
104001         1963/02/22          62.30          R
104001         1963/02/23          62.30          R
104001         1963/02/24          62.00          R
104001         1963/02/25          61.70          R
104001         1963/02/26          61.20          R
104001         1963/02/27          60.60          R
104001         1963/02/28          60.00          R
104001         1963/03/01          59.50          R
104001         1963/03/02          58.90          R
104001         1963/03/03          58.60          R
104001         1963/03/04          58.30          R
104001         1963/03/05          58.00          R
104001         1963/03/06          57.50          R
104001         1963/03/07          56.90          R
104001         1963/03/08          56.60          R
104001         1963/03/09          56.40          R
104001         1963/03/10          56.10          R
104001         1963/03/11          55.80          R
104001         1963/03/12          55.50          R
104001         1963/03/13          55.20          R
104001         1963/03/14          54.90          R
104001         1963/03/15          54.70          R
