Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 1993-07-14
Station:        104401         Qurlutuq - à 73,4 km de l'embouchure                                                                                                           
Bassin versant: 3680 km²       Régime: Naturel                                           
Coordonnées:    (NAD83) 57° 54' 39" // -66° 22' 19"

Date de création du fichier: 2012-07-01 02:40
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
104401         1972/07/23          107.0          MC
104401         1972/07/24          110.0          MC
104401         1972/07/25          112.0          MC
104401         1972/07/26          114.0          MC
104401         1972/07/27          112.0          MC
104401         1972/07/28          109.0          MC
104401         1972/07/29          105.0          MC
104401         1972/07/30          103.0          MC
104401         1972/07/31          99.70          MC
104401         1972/08/01          95.10          MC
104401         1972/08/02          90.30          MC
104401         1972/08/03          87.20          MC
104401         1972/08/04          83.80          MC
104401         1972/08/05          79.60          MC
104401         1972/08/06          76.70          MC
104401         1972/08/07          71.90          MC
104401         1972/08/08          68.80          MC
104401         1972/08/09          65.40          MC
104401         1972/08/10          64.00          MC
104401         1972/08/11          62.30          MC
104401         1972/08/12          60.30          MC
104401         1972/08/13          58.00          MC
104401         1972/08/14          57.50          MC
104401         1972/08/15          56.60          MC
104401         1972/08/16          56.10          MC
104401         1972/08/17          54.40          MC
104401         1972/08/18          52.40          MC
104401         1972/08/19          51.50          MC
104401         1972/08/20          51.50          MC
104401         1972/08/21          52.10          MC
104401         1972/08/22          52.10          MC
104401         1972/08/23          43.90          MC
104401         1972/08/24          34.00          MC
104401         1972/08/25          45.00          MC
104401         1972/08/26          73.30          MC
104401         1972/08/27          81.60          MC
104401         1972/08/28          88.30          MC
104401         1972/08/29          99.10          MC
104401         1972/08/30          116.0          MC
104401         1972/08/31          162.0          MC
104401         1972/09/01          208.0          MC
104401         1972/09/02          234.0          MC
104401         1972/09/03          242.0          MC
104401         1972/09/04          239.0          MC
104401         1972/09/05          233.0          MC
104401         1972/09/06          214.0          MC
104401         1972/09/07          199.0          MC
104401         1972/09/08          182.0          MC
104401         1972/09/09          171.0          MC
104401         1972/09/10          158.0          MC
104401         1972/09/11          151.0          MC
104401         1972/09/12          143.0          MC
104401         1972/09/13          136.0          MC
104401         1972/09/14          136.0          MC
104401         1972/09/15          138.0          MC
104401         1972/09/16          134.0          MC
104401         1972/09/17          132.0          MC
104401         1972/09/18          127.0          MC
104401         1972/09/19          127.0          MC
104401         1972/09/20          127.0          MC
104401         1972/09/21          128.0          MC
104401         1972/09/22          130.0          MC
104401         1972/09/23          126.0          MC
104401         1972/09/24          131.0          MC
104401         1972/09/25          139.0          MC
104401         1972/09/26          140.0          MC
104401         1972/09/27          148.0          MC
104401         1972/09/28          149.0          MC
104401         1972/09/29          150.0          MC
104401         1972/09/30          148.0          MC
104401         1972/10/01          143.0          MC
104401         1972/10/02          139.0          MC
104401         1972/10/03          133.0          MC
104401         1972/10/04          131.0          MC
104401         1972/10/05          121.0          MC
104401         1972/10/06          115.0          MC
104401         1972/10/07          108.0          MC
104401         1972/10/08          101.0          MC
104401         1972/10/09          98.30          MC
104401         1972/10/10          88.10          MC
104401         1972/10/11          86.90          MC
104401         1972/10/12          81.30          MC
104401         1972/10/13          78.70          MC
104401         1972/10/14          77.60          MC
104401         1972/10/15          76.70          MC
104401         1972/10/16          75.90          MC
104401         1972/10/17          76.20          MC
104401         1972/10/18          75.00          MC
104401         1972/10/19          74.50          R
104401         1972/10/20          70.80          MC
104401         1972/10/21          68.50          MC
104401         1972/10/22          66.80          MC
104401         1972/10/23          64.60          MC
104401         1972/10/24          63.10          MC
104401         1972/10/25          61.20          MC
104401         1972/10/26          58.90          MC
104401         1972/10/27          57.20          MC
