Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2018-09-30, préliminaires par la suite
Station:        104803         George - à la sortie du lac de la Hutte Sauvage                                                                                                
Bassin versant: 24098 km²      Régime: Naturel                                           
Coordonnées:    (NAD83) 56° 46' 59" // -64° 52' 5"

Date de création du fichier: 2019-11-29 19:00
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
104803         1975/06/29          1600           MC
104803         1975/06/30          1520           MC
104803         1975/07/01          1440           MC
104803         1975/07/02          1360           MC
104803         1975/07/03          1310           MC
104803         1975/07/04          1240           MC
104803         1975/07/05          1180           MC
104803         1975/07/06          1110           MC
104803         1975/07/07          1090           MC
104803         1975/07/08          1040           MC
104803         1975/07/09          1020           MC
104803         1975/07/10          980.0          MC
104803         1975/07/11          980.0          MC
104803         1975/07/12          988.0          MC
104803         1975/07/13          968.0          MC
104803         1975/07/14          937.0          MC
104803         1975/07/15          903.0          MC
104803         1975/07/16          869.0          MC
104803         1975/07/17          861.0          MC
104803         1975/07/18          827.0          MC
104803         1975/07/19          864.0          MC
104803         1975/07/20          943.0          MC
104803         1975/07/21          957.0          MC
104803         1975/07/22          1000           MC
104803         1975/07/23          1010           MC
104803         1975/07/24          1010           E
104803         1975/07/25          1010           E
104803         1975/07/26          1020           E
104803         1975/07/27          1020           E
104803         1975/07/28          1040           E
104803         1975/07/29          1070           E
104803         1975/07/30          1100           E
104803         1975/07/31          1130           E
104803         1975/08/01          1180           E
104803         1975/08/02          1270           E
104803         1975/08/03          1370           E
104803         1975/08/04          1420           E
104803         1975/08/05          1420           E
104803         1975/08/06          1430           J
104803         1975/08/07          1420           E
104803         1975/08/08          1400           E
104803         1975/08/09          1050           E
104803         1975/08/10          991.0          E
104803         1975/08/11          1190           E
104803         1975/08/12          1130           E
104803         1975/08/13          1060           E
104803         1975/08/14          1040           E
104803         1975/08/15          997.0          E
104803         1975/08/16          949.0          E
104803         1975/08/17          892.0          E
104803         1975/08/18          878.0          J
104803         1975/08/19          844.0          MC
104803         1975/08/20          813.0          MC
104803         1975/08/21          787.0          MC
104803         1975/08/22          793.0          MC
104803         1975/08/23          787.0          MC
104803         1975/08/24          790.0          MC
